Gareth Batty ,10,8,2,30,17,5.00,73,41.09,0,0,1,0,4,0
James Anderson ,174,69,37,237,28,7.40,511,46.37,0,0,19,0,47,0
Steve Harmison ,58,25,14,91,18*,8.27,141,64.53,0,0,3,0,10,0
Rikki Clarke ,20,13,0,144,39,11.07,232,62.06,0,0,12,1,11,0
Anthony McGrath ,14,12,2,166,52,16.60,353,47.02,0,1,11,0,4,0
Jim Troughton ,6,5,1,36,20,9.00,76,47.36,0,0,5,0,1,0
Richard Johnson ,10,4,1,16,10,5.33,20,80.00,0,0,1,1,0,0
Robert Key ,5,5,0,54,19,10.80,135,40.00,0,0,6,0,0,0
Kabir Ali ,14,9,3,93,39*,15.50,108,86.11,0,0,8,1,1,0
Andrew Strauss ,127,126,8,4205,158,35.63,5195,80.94,6,27,454,25,57,0
Geraint Jones ,49,41,8,815,80,24.69,1042,78.21,0,4,71,14,68,4
Sajid Mahmood ,26,15,4,85,22*,7.72,101,84.15,0,0,8,1,1,0
Alex Wharf ,13,5,3,19,9,9.50,28,67.85,0,0,0,1,1,0
Ian Bell ,140,136,11,4635,126*,37.08,6164,75.19,3,29,451,27,45,0
Kevin Pietersen ,136,125,16,4440,130,40.73,5128,86.58,9,25,427,77,40,0
Simon Jones ,8,1,0,1,1,1.00,2,50.00,0,0,0,0,0,0
Matt Prior ,68,62,9,1282,87,24.18,1670,76.76,0,3,141,6,71,8
Jon Lewis ,13,8,2,50,17,8.33,63,79.36,0,0,4,0,0,0
Chris Tremlett ,15,11,4,50,19*,7.14,89,56.17,0,0,2,2,4,0
Liam Plunkett ,29,25,10,315,56,21.00,378,83.33,0,1,21,6,7,0
Glen Chapple ,1,1,0,14,14,14.00,7,200.00,0,0,1,1,0,0
Jamie Dalrymple ,27,26,1,487,67,19.48,672,72.47,0,2,32,3,12,0
Ed Joyce ,39,39,3,1252,116*,34.77,1837,68.15,2,8,124,9,11,0
Tim Bresnan ,81,61,18,846,80,19.67,914,92.56,0,1,86,6,20,0
Alex Loudon ,1,1,0,0,0,0.00,0,-,0,0,0,0,0,0
Alastair Cook ,77,77,3,2825,137,38.17,3595,78.58,5,18,325,9,28,0
Stuart Broad ,105,57,20,442,45*,11.94,588,75.17,0,0,29,6,23,0
Michael Yardy ,28,24,8,326,60*,20.37,472,69.06,0,2,20,1,10,0
Paul Nixon ,19,18,4,297,49,21.21,347,85.59,0,0,21,7,20,3
Monty Panesar ,26,8,3,26,13,5.20,91,28.57,0,0,2,0,3,0
Mal Loye ,7,7,0,142,45,20.28,184,77.17,0,0,19,5,0,0
Ravi Bopara ,99,91,18,2306,101*,31.58,2930,78.70,1,11,187,31,29,0
Dimitri Mascarenhas ,20,13,2,245,52,22.27,257,95.33,0,1,12,13,4,0
Luke Wright ,48,37,4,706,52,21.39,806,87.59,0,2,63,18,17,0
Phil Mustard ,10,10,0,233,83,23.30,252,92.46,0,1,28,5,9,2
Tim Ambrose ,5,5,1,10,6,2.50,34,29.41,0,0,0,0,3,0
Samit Patel ,36,22,7,482,70*,32.13,517,93.23,0,1,37,12,7,0
Eoin Morgan ,112,106,21,3447,124*,40.55,3954,87.17,6,21,288,76,46,0
Joe Denly ,9,9,0,268,67,29.77,409,65.52,0,2,31,1,5,0
Adil Rashid ,5,4,1,60,31*,20.00,54,111.11,0,0,8,0,2,0
Jonathan Trott ,68,65,10,2819,137,51.25,3658,77.06,4,22,216,3,14,0
Graham Onions ,4,1,0,1,1,1.00,2,50.00,0,0,0,0,1,0
Steven Davies ,8,8,0,244,87,30.50,231,105.62,0,1,36,0,8,0
Craig Kieswetter ,46,40,5,1054,107,30.11,1172,89.93,1,5,106,32,53,12
James Tredwell ,27,15,8,59,16,8.42,125,47.20,0,0,3,0,8,0
Ajmal Shahzad ,11,8,2,39,9,6.50,60,65.00,0,0,0,3,4,0
Chris Woakes ,13,10,4,141,36,23.50,192,73.43,0,0,10,0,5,0
Steven Finn ,39,13,6,96,35,13.71,112,85.71,0,0,10,3,8,0
Jade Dernbach ,24,8,1,19,5,2.71,39,48.71,0,0,1,0,5,0
Scott Borthwick ,2,2,0,18,15,9.00,16,112.50,0,0,1,1,0,0
Ben Stokes ,15,11,0,193,70,17.54,263,73.38,0,1,14,3,5,0
James Taylor ,2,2,0,26,25,13.00,50,52.00,0,0,3,0,0,0
Jonny Bairstow ,7,6,1,119,41*,23.80,155,76.77,0,0,9,3,3,0
Stuart Meaker ,2,2,0,2,1,1.00,16,12.50,0,0,0,0,0,0
Danny Briggs ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Jos Buttler ,24,19,3,461,75,28.81,356,129.49,0,3,34,17,38,1
Joe Root ,23,22,3,686,79*,36.10,879,78.04,0,5,54,5,10,0
Gary Ballance ,5,5,0,132,79,26.40,189,69.84,0,1,9,0,5,0
Michael Carberry ,5,5,0,108,63,21.60,172,62.79,0,1,14,0,2,0
Boyd Rankin ,44,18,12,40,7*,6.66,110,36.36,0,0,1,0,6,0
Chris Jordan ,6,5,3,30,14,15.00,47,63.82,0,0,2,0,1,0
